split,cfg,ndcg
0,A_v21_ridge,0.6634860855205873
0,B_v24_ridge,0.6669590936097859
0,C_text_clf_ridge,0.6676432954642498
0,BL2_B,0.6663824550894165
0,BL4_BC,0.6667851998228665
0,BL6_ABC,0.6671163426426624
1,A_v21_ridge,0.6696632631570196
1,B_v24_ridge,0.6703586251721564
1,C_text_clf_ridge,0.6715023180110086
1,BL2_B,0.6691984678298504
1,BL4_BC,0.6704368044813435
1,BL6_ABC,0.6696134089338739
2,A_v21_ridge,0.6631518531815813
2,B_v24_ridge,0.6636723662966237
2,C_text_clf_ridge,0.6632277381931617
2,BL2_B,0.6619592366336319
2,BL4_BC,0.6624728676037811
2,BL6_ABC,0.6620548512362536
