split,meta,mode,model,ndcg
0,B_v24,FULLFIT,ridge,0.6595164487915136
0,B_v24,FULLFIT,ridge+ranker.5,0.662530687224828
0,B_v24,FOLDAVG,ridge,0.6590826381035402
0,B_v24,FOLDAVG,ridge+ranker.5,0.6592963247819585
0,C_text_clf,FULLFIT,ridge,0.661017501344787
0,C_text_clf,FULLFIT,ridge+ranker.5,0.6616726557470594
0,C_text_clf,FOLDAVG,ridge,0.6586041256517451
0,C_text_clf,FOLDAVG,ridge+ranker.5,0.6610831135532125
1,B_v24,FULLFIT,ridge,0.6649147904930146
1,B_v24,FULLFIT,ridge+ranker.5,0.6664365001259177
1,B_v24,FOLDAVG,ridge,0.6634201582267629
1,B_v24,FOLDAVG,ridge+ranker.5,0.6651965369477512
1,C_text_clf,FULLFIT,ridge,0.6648279503585254
1,C_text_clf,FULLFIT,ridge+ranker.5,0.6645115087496323
1,C_text_clf,FOLDAVG,ridge,0.6653849894390627
1,C_text_clf,FOLDAVG,ridge+ranker.5,0.665005991595825
