split,meta,w_ridge,ndcg
0,A_v21,1.0,0.6626235343758489
0,A_v21,0.75,0.6623224351057307
0,A_v21,0.5,0.6633068231933575
0,A_v21,0.25,0.6602899264946804
0,A_v21,0.0,0.6602011046545213
0,B_v24,1.0,0.6620460106748406
0,B_v24,0.75,0.6620935813422874
0,B_v24,0.5,0.6626824252029169
0,B_v24,0.25,0.6618928738709217
0,B_v24,0.0,0.6627118473741485
0,C_text_clf,1.0,0.663860455287482
0,C_text_clf,0.75,0.6642386069316379
0,C_text_clf,0.5,0.6630792117773904
0,C_text_clf,0.25,0.6631049780145888
0,C_text_clf,0.0,0.6604420751413425
1,A_v21,1.0,0.6730185904346806
1,A_v21,0.75,0.6703470148084201
1,A_v21,0.5,0.6696779363201022
1,A_v21,0.25,0.6681685237244792
1,A_v21,0.0,0.6655699455877256
1,B_v24,1.0,0.6732811626597536
1,B_v24,0.75,0.6718382473492759
1,B_v24,0.5,0.6713741917073535
1,B_v24,0.25,0.6709576336740729
1,B_v24,0.0,0.6677476171572357
1,C_text_clf,1.0,0.6729064791939222
1,C_text_clf,0.75,0.6733659877479355
1,C_text_clf,0.5,0.672908913849675
1,C_text_clf,0.25,0.6710071594672506
1,C_text_clf,0.0,0.6692965520907092
2,A_v21,1.0,0.657937696288029
2,A_v21,0.75,0.6591790363417868
2,A_v21,0.5,0.6604952267147064
2,A_v21,0.25,0.6585633323021259
2,A_v21,0.0,0.6562227562858775
2,B_v24,1.0,0.6594121955453386
2,B_v24,0.75,0.6596245845552194
2,B_v24,0.5,0.6590931316138031
2,B_v24,0.25,0.6583479026833184
2,B_v24,0.0,0.6567819292444551
2,C_text_clf,1.0,0.6598172460471587
2,C_text_clf,0.75,0.6594261695163468
2,C_text_clf,0.5,0.6585376570919602
2,C_text_clf,0.25,0.657182939022406
2,C_text_clf,0.0,0.6552128908352332
3,A_v21,1.0,0.6706360958655225
3,A_v21,0.75,0.6697432166901697
3,A_v21,0.5,0.668990917672784
3,A_v21,0.25,0.6693985036853608
3,A_v21,0.0,0.6704348445546167
3,B_v24,1.0,0.668952305363882
3,B_v24,0.75,0.6691619527298039
3,B_v24,0.5,0.6699617508542762
3,B_v24,0.25,0.6694974831539461
3,B_v24,0.0,0.6701138465558895
3,C_text_clf,1.0,0.6686206624741796
3,C_text_clf,0.75,0.6696482328328337
3,C_text_clf,0.5,0.6698003414669468
3,C_text_clf,0.25,0.6685622478424895
3,C_text_clf,0.0,0.6669449489389463
